"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","lon"
"202006","CABA","Comuna 6",2,51,45,118000,"USD","Emprendimiento en Construccion en Cid Campeador  - Final de obra en 3 meses","Departamento","Venta",-34.6101211,-58.4509879
"202006","CABA","Comuna 15",2,49,49,126262,"USD","Excelente emprendimiento","Departamento","Venta",-34.6075947,-58.4457497
"202006","CABA","Comuna 10",2,61,53,162500,"USD","Departamento de 2 ambientes en VENTA en Mataderos - USD 162.500","Departamento","Venta",-34.6444174,-58.5007749
"202006","CABA","Comuna 10",2,65,53,147500,"USD","Departamento de 2 ambientes en VENTA  en Mataderos - USD 147.500","Departamento","Venta",-34.6444174,-58.5007749
"202006","CABA","Comuna 1",2,48,43,99000,"USD","Departamento de 2 ambientes en Venta en Monserrat","Departamento","Venta",-34.6084783391,-58.3780949947
"202006","CABA","Comuna 1",2,51,45,142000,"USD","2 ambientes en San Telmo. Con amenities","Departamento","Venta",-34.6243799517,-58.3742535566
"202006","GBA","La Matanza",2,27,27,40000,"USD","Departamento - Tapiales","Departamento","Venta",-34.6981247,-58.51399
"202006","GBA","La Matanza",2,48,48,70000,"USD","Departamento - Ramos Mejia Sur","Departamento","Venta",-34.6530311,-58.5535859
"202006","GBA","San Isidro",2,78,64,225000,"USD","Depto. en VENTA  - Pasionaria 2 amb.  USD 225.000.-","Departamento","Venta",-34.4948079,-58.5164546
"202006","GBA","San Isidro",2,55,50,182000,"USD","Departamento 2 ambientes en venta en Beccar Plaza 1 San Isidro con cochera USD 182000","Departamento","Venta",-34.4639911,-58.5290856
"202006","GBA","San Isidro",2,78,64,225000,"USD","Depto. en VENTA con renta - Pasionaria 2 amb.  USD 225.000.-","Departamento","Venta",-34.4948079,-58.5164546
"202006","CABA","Comuna 14",2,44,35,112000,"USD","Departamento - Barrio Norte","Departamento","Venta",-34.5889054057,-58.4098288497
"202006","GBA","San Fernando",2,50,50,125000,"USD","Departamento - Vict.-B.Centro","Departamento","Venta",-34.4562893,-58.5466236
"202006","CABA","Comuna 1",2,30,30,75000,"USD","Oportunidad 2 amb. Amueblado. Apto Profesional!!!","Departamento","Venta",-34.6051493,-58.3801924
"202006","CABA","Comuna 15",2,46,46,119000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-34.5959688801,-58.4400177163
"202006","CABA","Comuna 15",2,42,42,64000,"USD","Departamento - Paternal","Departamento","Venta",-34.5979588,-58.4491891
"202006","CABA","Comuna 15",2,90,45,125000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-34.5900904456,-58.4486783743
"202006","CABA","Comuna 14",2,52,47,139546,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-34.5862630496,-58.4437663903
"202006","CABA","Comuna 15",2,66,58,190000,"USD","Departamento de 2 ambientes en Venta en Villa crespo","Departamento","Venta",-34.5982192139,-58.4300380813
"202006","CABA","Comuna 1",2,67,62,319000,"USD","Departamento 2 ambientes c/cochera al frente en LUMIERE  Puerto Madero","Departamento","Venta",-34.615682195,-58.362778881
"202006","CABA","Comuna 3",2,52,44,100000,"USD","Espectacular 2 amb balcón, parrilla, cochera, pileta, jardín ¡Retasado!","Departamento","Venta",-34.6168734,-58.4053431
"202006","GBA","Vicente López",2,55,44,190000,"USD","Departamento - Olivos-Vias/Maipu","Departamento","Venta",-34.5052088,-58.4933942
"202006","CABA","Comuna 9",2,69,31,79900,"USD","Departamento de dos ambientes con balcón aterrizado!! ESPECTACULAR VISTA PANORÁMICA . OPORTUNIDAD!! - Parque Avellaneda","Departamento","Venta",-34.6458562,-58.4851927
"202006","GBA","General San Martín",2,48,44,87000,"USD","DEPARTAMENTO 2 AMBIENTES EN ZONA CÉNTRICA DE VILLA BALLESTER","Departamento","Venta",-34.547519,-58.5498961
"202006","GBA","La Plata",3,97,95,78000,"USD","47 e/18 y 19, P.H en venta sin expensas. Patio y terraza.","PH","Venta",-34.9238161817,-57.9635987354
"202006","CABA","Comuna 3",3,66,66,150000,"USD","Depto.tipo casa de 3 ambientes en Venta en Balvanera","PH","Venta",-34.6171816,-58.3977189
"202006","CABA","Comuna 3",3,85,69,144000,"USD","PH - Balvanera","PH","Venta",-34.6133547,-58.4048793
"202006","CABA","Comuna 9",3,54,54,80000,"USD","PH - Mataderos","PH","Venta",-34.6576291,-58.509439
"202006","CABA","Comuna 3",3,132,126,234500,"USD","PH 3 / 4 ambientes con entrada independiente sin expensas en Monserrat","PH","Venta",-34.6217046383,-58.3935210357
"202006","GBA","La Matanza",3,56,38,60000,"USD","VENTA PH 3 AMBIENTES SIN EXPENSAS EN RAMOS MEJIA","PH","Venta",-34.6436571,-58.5617791
"202006","GBA","Vicente López",3,165,99,240000,"USD","PH - A ESTRENAR CON DOBLE COCHERA, IMPECABLE!!","PH","Venta",-34.5416757,-58.4987946
"202006","CABA","Comuna 15",3,81,81,159000,"USD","Depto.tipo casa de 3 ambientes en Venta en Parque centenario","PH","Venta",-34.601211464,-58.4485274117
"202006","GBA","La Matanza",3,126,72,160000,"USD","VENTA DUPLEX 3 AMBIENTES CON COCHERA EN RAMOS MEJIA","Casa","Venta",-34.6475028,-58.5515748
"202006","GBA","San Isidro",3,107,107,230000,"USD","Casa - Martinez- HERMOSAS CASITAS INDEPENDIENTES PERO COMUNICADAS CON JARDIN.","Casa","Venta",-34.4924252,-58.5205162
"202006","GBA","Pilar",3,87,65,195000,"USD","Depto. con renta VENTA - LAGOON PILAR - 3 amb. USD 195.000","Departamento","Venta",-34.4111938,-58.848873
"202006","GBA","Pilar",3,87,65,180000,"USD","VENTA con renta en Lagoon Pilar - 3 amb. con vista USD 180.000.-","Departamento","Venta",-34.4111938,-58.848873
"202006","GBA","Pilar",3,98,98,132000,"USD","Departamento 3 amb. en venta en Pilar - Edificio Los Almendros USD 132.000.-","Departamento","Venta",-34.4487569,-58.8745003
"202006","GBA","Pilar",3,91,75,145000,"USD","Departamento - Del Viso","Departamento","Venta",-34.430974225,-58.792278266
"202006","GBA","Pilar",3,96,72,270000,"USD","Departamento en venta en Lagoon Pilar - 3 amb en Edificio AQUA  USD 270.000","Departamento","Venta",-34.4111072,-58.8490348
"202006","GBA","Tigre",3,105,72,240000,"USD","Bajo el precio ! Venta depto 3 amb planta baja con jardin  Portezuelo  Nordelta - Tigre","Departamento","Venta",-34.4026444,-58.6544622
"202006","GBA","Tigre",3,78,78,162000,"USD","Venta duplex 3 amb. con cochera con Renta - Homes 3 Nordelta - Tigre","Departamento","Venta",-34.425832,-58.656778
"202006","GBA","Tigre",3,103,95,338700,"USD","Excelente Departamento 3 ambientes a estrenar, Golf, Tenis, Futbol, Amarras y Spa.","Departamento","Venta",-34.4050954,-58.6242532
"202006","GBA","Tigre",3,132,75,210000,"USD","Departamento en VENTA, 3 AMB.  en Antares, Nordelta USD 215.000","Departamento","Venta",-34.400569,-58.649407
